candidate_party,county,race,vote_type,votes
DAVID SHAFER  (REP),Putnam,Lieutenant Governor - REP,Provisional,0
DAVID SHAFER  (REP),Quitman,Lieutenant Governor - REP,Provisional,0
DAVID SHAFER  (REP),Rabun,Lieutenant Governor - REP,Provisional,0
DAVID SHAFER  (REP),Randolph,Lieutenant Governor - REP,Provisional,0
DAVID SHAFER  (REP),Richmond,Lieutenant Governor - REP,Provisional,0
DAVID SHAFER  (REP),Rockdale,Lieutenant Governor - REP,Provisional,3
DAVID SHAFER  (REP),Schley,Lieutenant Governor - REP,Provisional,0
DAVID SHAFER  (REP),Screven,Lieutenant Governor - REP,Provisional,0
DAVID SHAFER  (REP),Seminole,Lieutenant Governor - REP,Provisional,0
DAVID SHAFER  (REP),Spalding,Lieutenant Governor - REP,Provisional,1
DAVID SHAFER  (REP),Stephens,Lieutenant Governor - REP,Provisional,0
DAVID SHAFER  (REP),Stewart,Lieutenant Governor - REP,Provisional,4
DAVID SHAFER  (REP),Sumter,Lieutenant Governor - REP,Provisional,1
DAVID SHAFER  (REP),Talbot,Lieutenant Governor - REP,Provisional,0
DAVID SHAFER  (REP),Taliaferro,Lieutenant Governor - REP,Provisional,0
DAVID SHAFER  (REP),Tattnall,Lieutenant Governor - REP,Provisional,0
DAVID SHAFER  (REP),Taylor,Lieutenant Governor - REP,Provisional,2
DAVID SHAFER  (REP),Telfair,Lieutenant Governor - REP,Provisional,0
DAVID SHAFER  (REP),Terrell,Lieutenant Governor - REP,Provisional,0
DAVID SHAFER  (REP),Thomas,Lieutenant Governor - REP,Provisional,1
DAVID SHAFER  (REP),Tift,Lieutenant Governor - REP,Provisional,1
DAVID SHAFER  (REP),Toombs,Lieutenant Governor - REP,Provisional,1
DAVID SHAFER  (REP),Towns,Lieutenant Governor - REP,Provisional,1
DAVID SHAFER  (REP),Treutlen,Lieutenant Governor - REP,Provisional,0
DAVID SHAFER  (REP),Troup,Lieutenant Governor - REP,Provisional,11
DAVID SHAFER  (REP),Turner,Lieutenant Governor - REP,Provisional,1
DAVID SHAFER  (REP),Twiggs,Lieutenant Governor - REP,Provisional,0
DAVID SHAFER  (REP),Union,Lieutenant Governor - REP,Provisional,0
DAVID SHAFER  (REP),Upson,Lieutenant Governor - REP,Provisional,1
DAVID SHAFER  (REP),Walker,Lieutenant Governor - REP,Provisional,1
DAVID SHAFER  (REP),Walton,Lieutenant Governor - REP,Provisional,2
DAVID SHAFER  (REP),Ware,Lieutenant Governor - REP,Provisional,0
DAVID SHAFER  (REP),Warren,Lieutenant Governor - REP,Provisional,0
DAVID SHAFER  (REP),Washington,Lieutenant Governor - REP,Provisional,2
DAVID SHAFER  (REP),Wayne,Lieutenant Governor - REP,Provisional,0
DAVID SHAFER  (REP),Webster,Lieutenant Governor - REP,Provisional,0
DAVID SHAFER  (REP),Wheeler,Lieutenant Governor - REP,Provisional,0
DAVID SHAFER  (REP),White,Lieutenant Governor - REP,Provisional,3
DAVID SHAFER  (REP),Whitfield,Lieutenant Governor - REP,Provisional,0
DAVID SHAFER  (REP),Wilcox,Lieutenant Governor - REP,Provisional,0
DAVID SHAFER  (REP),Wilkes,Lieutenant Governor - REP,Provisional,0
DAVID SHAFER  (REP),Wilkinson,Lieutenant Governor - REP,Provisional,0
DAVID SHAFER  (REP),Worth,Lieutenant Governor - REP,Provisional,1
DAVID BELLE ISLE  (REP),Appling,Secretary Of State - REP,Election Day,562
DAVID BELLE ISLE  (REP),Atkinson,Secretary Of State - REP,Election Day,124
DAVID BELLE ISLE  (REP),Bacon,Secretary Of State - REP,Election Day,126
DAVID BELLE ISLE  (REP),Baker,Secretary Of State - REP,Election Day,60
DAVID BELLE ISLE  (REP),Baldwin,Secretary Of State - REP,Election Day,512
DAVID BELLE ISLE  (REP),Banks,Secretary Of State - REP,Election Day,418
DAVID BELLE ISLE  (REP),Barrow,Secretary Of State - REP,Election Day,1306
DAVID BELLE ISLE  (REP),Bartow,Secretary Of State - REP,Election Day,1833
DAVID BELLE ISLE  (REP),Ben Hill,Secretary Of State - REP,Election Day,142
DAVID BELLE ISLE  (REP),Berrien,Secretary Of State - REP,Election Day,317
DAVID BELLE ISLE  (REP),Bibb,Secretary Of State - REP,Election Day,1901
DAVID BELLE ISLE  (REP),Bleckley,Secretary Of State - REP,Election Day,279
DAVID BELLE ISLE  (REP),Brantley,Secretary Of State - REP,Election Day,392
DAVID BELLE ISLE  (REP),Brooks,Secretary Of State - REP,Election Day,351
DAVID BELLE ISLE  (REP),Bryan,Secretary Of State - REP,Election Day,502
DAVID BELLE ISLE  (REP),Bulloch,Secretary Of State - REP,Election Day,1070
DAVID BELLE ISLE  (REP),Burke,Secretary Of State - REP,Election Day,280
DAVID BELLE ISLE  (REP),Butts,Secretary Of State - REP,Election Day,254
DAVID BELLE ISLE  (REP),Calhoun,Secretary Of State - REP,Election Day,59
DAVID BELLE ISLE  (REP),Camden,Secretary Of State - REP,Election Day,757
DAVID BELLE ISLE  (REP),Candler,Secretary Of State - REP,Election Day,157
DAVID BELLE ISLE  (REP),Carroll,Secretary Of State - REP,Election Day,1612
DAVID BELLE ISLE  (REP),Catoosa,Secretary Of State - REP,Election Day,1014
DAVID BELLE ISLE  (REP),Charlton,Secretary Of State - REP,Election Day,159
DAVID BELLE ISLE  (REP),Chatham,Secretary Of State - REP,Election Day,3693
DAVID BELLE ISLE  (REP),Chattahoochee,Secretary Of State - REP,Election Day,51
DAVID BELLE ISLE  (REP),Chattooga,Secretary Of State - REP,Election Day,346
DAVID BELLE ISLE  (REP),Cherokee,Secretary Of State - REP,Election Day,5844
DAVID BELLE ISLE  (REP),Clarke,Secretary Of State - REP,Election Day,878
DAVID BELLE ISLE  (REP),Clay,Secretary Of State - REP,Election Day,44
DAVID BELLE ISLE  (REP),Clayton,Secretary Of State - REP,Election Day,623
DAVID BELLE ISLE  (REP),Clinch,Secretary Of State - REP,Election Day,89
DAVID BELLE ISLE  (REP),Cobb,Secretary Of State - REP,Election Day,11997
DAVID BELLE ISLE  (REP),Coffee,Secretary Of State - REP,Election Day,286
DAVID BELLE ISLE  (REP),Colquitt,Secretary Of State - REP,Election Day,840
DAVID BELLE ISLE  (REP),Columbia,Secretary Of State - REP,Election Day,3551
DAVID BELLE ISLE  (REP),Cook,Secretary Of State - REP,Election Day,278
DAVID BELLE ISLE  (REP),Coweta,Secretary Of State - REP,Election Day,2349
DAVID BELLE ISLE  (REP),Crawford,Secretary Of State - REP,Election Day,249
DAVID BELLE ISLE  (REP),Crisp,Secretary Of State - REP,Election Day,234
DAVID BELLE ISLE  (REP),Dade,Secretary Of State - REP,Election Day,321
DAVID BELLE ISLE  (REP),Dawson,Secretary Of State - REP,Election Day,635
DAVID BELLE ISLE  (REP),Decatur,Secretary Of State - REP,Election Day,613
DAVID BELLE ISLE  (REP),DeKalb,Secretary Of State - REP,Election Day,5154
DAVID BELLE ISLE  (REP),Dodge,Secretary Of State - REP,Election Day,454
DAVID BELLE ISLE  (REP),Dooly,Secretary Of State - REP,Election Day,130
DAVID BELLE ISLE  (REP),Dougherty,Secretary Of State - REP,Election Day,649
DAVID BELLE ISLE  (REP),Douglas,Secretary Of State - REP,Election Day,1004
DAVID BELLE ISLE  (REP),Early,Secretary Of State - REP,Election Day,260
DAVID BELLE ISLE  (REP),Echols,Secretary Of State - REP,Election Day,54
DAVID BELLE ISLE  (REP),Effingham,Secretary Of State - REP,Election Day,934
DAVID BELLE ISLE  (REP),Elbert,Secretary Of State - REP,Election Day,338
DAVID BELLE ISLE  (REP),Emanuel,Secretary Of State - REP,Election Day,578
DAVID BELLE ISLE  (REP),Evans,Secretary Of State - REP,Election Day,126
DAVID BELLE ISLE  (REP),Fannin,Secretary Of State - REP,Election Day,627
DAVID BELLE ISLE  (REP),Fayette,Secretary Of State - REP,Election Day,2175
DAVID BELLE ISLE  (REP),Floyd,Secretary Of State - REP,Election Day,1145
DAVID BELLE ISLE  (REP),Forsyth,Secretary Of State - REP,Election Day,5558
DAVID BELLE ISLE  (REP),Franklin,Secretary Of State - REP,Election Day,478
DAVID BELLE ISLE  (REP),Fulton,Secretary Of State - REP,Election Day,10577
DAVID BELLE ISLE  (REP),Gilmer,Secretary Of State - REP,Election Day,698
DAVID BELLE ISLE  (REP),Glascock,Secretary Of State - REP,Election Day,86
DAVID BELLE ISLE  (REP),Glynn,Secretary Of State - REP,Election Day,1333
DAVID BELLE ISLE  (REP),Gordon,Secretary Of State - REP,Election Day,741
DAVID BELLE ISLE  (REP),Grady,Secretary Of State - REP,Election Day,633
DAVID BELLE ISLE  (REP),Greene,Secretary Of State - REP,Election Day,277
DAVID BELLE ISLE  (REP),Gwinnett,Secretary Of State - REP,Election Day,10769
DAVID BELLE ISLE  (REP),Habersham,Secretary Of State - REP,Election Day,676
DAVID BELLE ISLE  (REP),Hall,Secretary Of State - REP,Election Day,4827
DAVID BELLE ISLE  (REP),Hancock,Secretary Of State - REP,Election Day,51
DAVID BELLE ISLE  (REP),Haralson,Secretary Of State - REP,Election Day,583
DAVID BELLE ISLE  (REP),Harris,Secretary Of State - REP,Election Day,787
DAVID BELLE ISLE  (REP),Hart,Secretary Of State - REP,Election Day,386
DAVID BELLE ISLE  (REP),Heard,Secretary Of State - REP,Election Day,203
DAVID BELLE ISLE  (REP),Henry,Secretary Of State - REP,Election Day,2887
DAVID BELLE ISLE  (REP),Houston,Secretary Of State - REP,Election Day,1771
DAVID BELLE ISLE  (REP),Irwin,Secretary Of State - REP,Election Day,128
DAVID BELLE ISLE  (REP),Jackson,Secretary Of State - REP,Election Day,1557
DAVID BELLE ISLE  (REP),Jasper,Secretary Of State - REP,Election Day,243
DAVID BELLE ISLE  (REP),Jeff Davis,Secretary Of State - REP,Election Day,257
DAVID BELLE ISLE  (REP),Jefferson,Secretary Of State - REP,Election Day,238
DAVID BELLE ISLE  (REP),Jenkins,Secretary Of State - REP,Election Day,133
DAVID BELLE ISLE  (REP),Johnson,Secretary Of State - REP,Election Day,209
DAVID BELLE ISLE  (REP),Jones,Secretary Of State - REP,Election Day,481
DAVID BELLE ISLE  (REP),Lamar,Secretary Of State - REP,Election Day,346
DAVID BELLE ISLE  (REP),Lanier,Secretary Of State - REP,Election Day,172
DAVID BELLE ISLE  (REP),Laurens,Secretary Of State - REP,Election Day,853
DAVID BELLE ISLE  (REP),Lee,Secretary Of State - REP,Election Day,515
DAVID BELLE ISLE  (REP),Liberty,Secretary Of State - REP,Election Day,309
DAVID BELLE ISLE  (REP),Lincoln,Secretary Of State - REP,Election Day,222
DAVID BELLE ISLE  (REP),Long,Secretary Of State - REP,Election Day,136
DAVID BELLE ISLE  (REP),Lowndes,Secretary Of State - REP,Election Day,1423
DAVID BELLE ISLE  (REP),Lumpkin,Secretary Of State - REP,Election Day,598
DAVID BELLE ISLE  (REP),Macon,Secretary Of State - REP,Election Day,69
DAVID BELLE ISLE  (REP),Madison,Secretary Of State - REP,Election Day,664
DAVID BELLE ISLE  (REP),Marion,Secretary Of State - REP,Election Day,117
DAVID BELLE ISLE  (REP),McDuffie,Secretary Of State - REP,Election Day,349
DAVID BELLE ISLE  (REP),McIntosh,Secretary Of State - REP,Election Day,243
DAVID BELLE ISLE  (REP),Meriwether,Secretary Of State - REP,Election Day,383
DAVID BELLE ISLE  (REP),Miller,Secretary Of State - REP,Election Day,186
DAVID BELLE ISLE  (REP),Mitchell,Secretary Of State - REP,Election Day,307
DAVID BELLE ISLE  (REP),Monroe,Secretary Of State - REP,Election Day,873
DAVID BELLE ISLE  (REP),Montgomery,Secretary Of State - REP,Election Day,306
DAVID BELLE ISLE  (REP),Morgan,Secretary Of State - REP,Election Day,474
DAVID BELLE ISLE  (REP),Murray,Secretary Of State - REP,Election Day,651
DAVID BELLE ISLE  (REP),Muscogee,Secretary Of State - REP,Election Day,1623
DAVID BELLE ISLE  (REP),Newton,Secretary Of State - REP,Election Day,1263
DAVID BELLE ISLE  (REP),Oconee,Secretary Of State - REP,Election Day,937
DAVID BELLE ISLE  (REP),Oglethorpe,Secretary Of State - REP,Election Day,369
DAVID BELLE ISLE  (REP),Paulding,Secretary Of State - REP,Election Day,2024
DAVID BELLE ISLE  (REP),Peach,Secretary Of State - REP,Election Day,316
DAVID BELLE ISLE  (REP),Pickens,Secretary Of State - REP,Election Day,786
DAVID BELLE ISLE  (REP),Pierce,Secretary Of State - REP,Election Day,381
DAVID BELLE ISLE  (REP),Pike,Secretary Of State - REP,Election Day,466
DAVID BELLE ISLE  (REP),Polk,Secretary Of State - REP,Election Day,517
DAVID BELLE ISLE  (REP),Pulaski,Secretary Of State - REP,Election Day,85
DAVID BELLE ISLE  (REP),Putnam,Secretary Of State - REP,Election Day,399
DAVID BELLE ISLE  (REP),Quitman,Secretary Of State - REP,Election Day,48
DAVID BELLE ISLE  (REP),Rabun,Secretary Of State - REP,Election Day,230
DAVID BELLE ISLE  (REP),Randolph,Secretary Of State - REP,Election Day,121
DAVID BELLE ISLE  (REP),Richmond,Secretary Of State - REP,Election Day,2070
DAVID BELLE ISLE  (REP),Rockdale,Secretary Of State - REP,Election Day,639
DAVID BELLE ISLE  (REP),Schley,Secretary Of State - REP,Election Day,101
DAVID BELLE ISLE  (REP),Screven,Secretary Of State - REP,Election Day,205
DAVID BELLE ISLE  (REP),Seminole,Secretary Of State - REP,Election Day,358
DAVID BELLE ISLE  (REP),Spalding,Secretary Of State - REP,Election Day,957
DAVID BELLE ISLE  (REP),Stephens,Secretary Of State - REP,Election Day,356
DAVID BELLE ISLE  (REP),Stewart,Secretary Of State - REP,Election Day,57
DAVID BELLE ISLE  (REP),Sumter,Secretary Of State - REP,Election Day,340
DAVID BELLE ISLE  (REP),Talbot,Secretary Of State - REP,Election Day,116
DAVID BELLE ISLE  (REP),Taliaferro,Secretary Of State - REP,Election Day,14
DAVID BELLE ISLE  (REP),Tattnall,Secretary Of State - REP,Election Day,402
DAVID BELLE ISLE  (REP),Taylor,Secretary Of State - REP,Election Day,159
DAVID BELLE ISLE  (REP),Telfair,Secretary Of State - REP,Election Day,248
DAVID BELLE ISLE  (REP),Terrell,Secretary Of State - REP,Election Day,143
DAVID BELLE ISLE  (REP),Thomas,Secretary Of State - REP,Election Day,978
DAVID BELLE ISLE  (REP),Tift,Secretary Of State - REP,Election Day,520
DAVID BELLE ISLE  (REP),Toombs,Secretary Of State - REP,Election Day,398
DAVID BELLE ISLE  (REP),Towns,Secretary Of State - REP,Election Day,224
DAVID BELLE ISLE  (REP),Treutlen,Secretary Of State - REP,Election Day,110
DAVID BELLE ISLE  (REP),Troup,Secretary Of State - REP,Election Day,1003
DAVID BELLE ISLE  (REP),Turner,Secretary Of State - REP,Election Day,90
DAVID BELLE ISLE  (REP),Twiggs,Secretary Of State - REP,Election Day,142
DAVID BELLE ISLE  (REP),Union,Secretary Of State - REP,Election Day,588
DAVID BELLE ISLE  (REP),Upson,Secretary Of State - REP,Election Day,415
DAVID BELLE ISLE  (REP),Walker,Secretary Of State - REP,Election Day,1006
DAVID BELLE ISLE  (REP),Walton,Secretary Of State - REP,Election Day,2393
DAVID BELLE ISLE  (REP),Ware,Secretary Of State - REP,Election Day,673
DAVID BELLE ISLE  (REP),Warren,Secretary Of State - REP,Election Day,89
DAVID BELLE ISLE  (REP),Washington,Secretary Of State - REP,Election Day,211
DAVID BELLE ISLE  (REP),Wayne,Secretary Of State - REP,Election Day,716
DAVID BELLE ISLE  (REP),Webster,Secretary Of State - REP,Election Day,41
DAVID BELLE ISLE  (REP),Wheeler,Secretary Of State - REP,Election Day,107
DAVID BELLE ISLE  (REP),White,Secretary Of State - REP,Election Day,716
DAVID BELLE ISLE  (REP),Whitfield,Secretary Of State - REP,Election Day,1295
DAVID BELLE ISLE  (REP),Wilcox,Secretary Of State - REP,Election Day,174
DAVID BELLE ISLE  (REP),Wilkes,Secretary Of State - REP,Election Day,174
DAVID BELLE ISLE  (REP),Wilkinson,Secretary Of State - REP,Election Day,146
DAVID BELLE ISLE  (REP),Worth,Secretary Of State - REP,Election Day,347
DAVID BELLE ISLE  (REP),Appling,Secretary Of State - REP,Absentee by Mail,56
DAVID BELLE ISLE  (REP),Atkinson,Secretary Of State - REP,Absentee by Mail,6
DAVID BELLE ISLE  (REP),Bacon,Secretary Of State - REP,Absentee by Mail,18
DAVID BELLE ISLE  (REP),Baker,Secretary Of State - REP,Absentee by Mail,11
DAVID BELLE ISLE  (REP),Baldwin,Secretary Of State - REP,Absentee by Mail,26
DAVID BELLE ISLE  (REP),Banks,Secretary Of State - REP,Absentee by Mail,31
DAVID BELLE ISLE  (REP),Barrow,Secretary Of State - REP,Absentee by Mail,50
DAVID BELLE ISLE  (REP),Bartow,Secretary Of State - REP,Absentee by Mail,60
DAVID BELLE ISLE  (REP),Ben Hill,Secretary Of State - REP,Absentee by Mail,3
DAVID BELLE ISLE  (REP),Berrien,Secretary Of State - REP,Absentee by Mail,27
DAVID BELLE ISLE  (REP),Bibb,Secretary Of State - REP,Absentee by Mail,71
DAVID BELLE ISLE  (REP),Bleckley,Secretary Of State - REP,Absentee by Mail,10
DAVID BELLE ISLE  (REP),Brantley,Secretary Of State - REP,Absentee by Mail,13
DAVID BELLE ISLE  (REP),Brooks,Secretary Of State - REP,Absentee by Mail,3
DAVID BELLE ISLE  (REP),Bryan,Secretary Of State - REP,Absentee by Mail,3
DAVID BELLE ISLE  (REP),Bulloch,Secretary Of State - REP,Absentee by Mail,57
DAVID BELLE ISLE  (REP),Burke,Secretary Of State - REP,Absentee by Mail,20
DAVID BELLE ISLE  (REP),Butts,Secretary Of State - REP,Absentee by Mail,20
DAVID BELLE ISLE  (REP),Calhoun,Secretary Of State - REP,Absentee by Mail,0
DAVID BELLE ISLE  (REP),Camden,Secretary Of State - REP,Absentee by Mail,83
DAVID BELLE ISLE  (REP),Candler,Secretary Of State - REP,Absentee by Mail,5
DAVID BELLE ISLE  (REP),Carroll,Secretary Of State - REP,Absentee by Mail,53
DAVID BELLE ISLE  (REP),Catoosa,Secretary Of State - REP,Absentee by Mail,28
DAVID BELLE ISLE  (REP),Charlton,Secretary Of State - REP,Absentee by Mail,1
DAVID BELLE ISLE  (REP),Chatham,Secretary Of State - REP,Absentee by Mail,102
DAVID BELLE ISLE  (REP),Chattahoochee,Secretary Of State - REP,Absentee by Mail,0
DAVID BELLE ISLE  (REP),Chattooga,Secretary Of State - REP,Absentee by Mail,3
DAVID BELLE ISLE  (REP),Cherokee,Secretary Of State - REP,Absentee by Mail,177
DAVID BELLE ISLE  (REP),Clarke,Secretary Of State - REP,Absentee by Mail,89
DAVID BELLE ISLE  (REP),Clay,Secretary Of State - REP,Absentee by Mail,0
DAVID BELLE ISLE  (REP),Clayton,Secretary Of State - REP,Absentee by Mail,37
DAVID BELLE ISLE  (REP),Clinch,Secretary Of State - REP,Absentee by Mail,1
DAVID BELLE ISLE  (REP),Cobb,Secretary Of State - REP,Absentee by Mail,626
DAVID BELLE ISLE  (REP),Coffee,Secretary Of State - REP,Absentee by Mail,6
DAVID BELLE ISLE  (REP),Colquitt,Secretary Of State - REP,Absentee by Mail,17
DAVID BELLE ISLE  (REP),Columbia,Secretary Of State - REP,Absentee by Mail,160
DAVID BELLE ISLE  (REP),Cook,Secretary Of State - REP,Absentee by Mail,25
DAVID BELLE ISLE  (REP),Coweta,Secretary Of State - REP,Absentee by Mail,129
DAVID BELLE ISLE  (REP),Crawford,Secretary Of State - REP,Absentee by Mail,13
DAVID BELLE ISLE  (REP),Crisp,Secretary Of State - REP,Absentee by Mail,13
DAVID BELLE ISLE  (REP),Dade,Secretary Of State - REP,Absentee by Mail,0
DAVID BELLE ISLE  (REP),Dawson,Secretary Of State - REP,Absentee by Mail,23
DAVID BELLE ISLE  (REP),Decatur,Secretary Of State - REP,Absentee by Mail,23
DAVID BELLE ISLE  (REP),DeKalb,Secretary Of State - REP,Absentee by Mail,235
DAVID BELLE ISLE  (REP),Dodge,Secretary Of State - REP,Absentee by Mail,16
DAVID BELLE ISLE  (REP),Dooly,Secretary Of State - REP,Absentee by Mail,1
DAVID BELLE ISLE  (REP),Dougherty,Secretary Of State - REP,Absentee by Mail,21
DAVID BELLE ISLE  (REP),Douglas,Secretary Of State - REP,Absentee by Mail,39
DAVID BELLE ISLE  (REP),Early,Secretary Of State - REP,Absentee by Mail,11
DAVID BELLE ISLE  (REP),Echols,Secretary Of State - REP,Absentee by Mail,1
DAVID BELLE ISLE  (REP),Effingham,Secretary Of State - REP,Absentee by Mail,23
DAVID BELLE ISLE  (REP),Elbert,Secretary Of State - REP,Absentee by Mail,28
DAVID BELLE ISLE  (REP),Emanuel,Secretary Of State - REP,Absentee by Mail,17
DAVID BELLE ISLE  (REP),Evans,Secretary Of State - REP,Absentee by Mail,24
DAVID BELLE ISLE  (REP),Fannin,Secretary Of State - REP,Absentee by Mail,58
DAVID BELLE ISLE  (REP),Fayette,Secretary Of State - REP,Absentee by Mail,42
DAVID BELLE ISLE  (REP),Floyd,Secretary Of State - REP,Absentee by Mail,37
DAVID BELLE ISLE  (REP),Forsyth,Secretary Of State - REP,Absentee by Mail,227
DAVID BELLE ISLE  (REP),Franklin,Secretary Of State - REP,Absentee by Mail,41
DAVID BELLE ISLE  (REP),Fulton,Secretary Of State - REP,Absentee by Mail,402
DAVID BELLE ISLE  (REP),Gilmer,Secretary Of State - REP,Absentee by Mail,44
DAVID BELLE ISLE  (REP),Glascock,Secretary Of State - REP,Absentee by Mail,4
DAVID BELLE ISLE  (REP),Glynn,Secretary Of State - REP,Absentee by Mail,68
DAVID BELLE ISLE  (REP),Gordon,Secretary Of State - REP,Absentee by Mail,20
DAVID BELLE ISLE  (REP),Grady,Secretary Of State - REP,Absentee by Mail,31
DAVID BELLE ISLE  (REP),Greene,Secretary Of State - REP,Absentee by Mail,12
DAVID BELLE ISLE  (REP),Gwinnett,Secretary Of State - REP,Absentee by Mail,405
DAVID BELLE ISLE  (REP),Habersham,Secretary Of State - REP,Absentee by Mail,107
DAVID BELLE ISLE  (REP),Hall,Secretary Of State - REP,Absentee by Mail,226
DAVID BELLE ISLE  (REP),Hancock,Secretary Of State - REP,Absentee by Mail,0
DAVID BELLE ISLE  (REP),Haralson,Secretary Of State - REP,Absentee by Mail,17
DAVID BELLE ISLE  (REP),Harris,Secretary Of State - REP,Absentee by Mail,43
DAVID BELLE ISLE  (REP),Hart,Secretary Of State - REP,Absentee by Mail,23
DAVID BELLE ISLE  (REP),Heard,Secretary Of State - REP,Absentee by Mail,40
DAVID BELLE ISLE  (REP),Henry,Secretary Of State - REP,Absentee by Mail,97
DAVID BELLE ISLE  (REP),Houston,Secretary Of State - REP,Absentee by Mail,45
DAVID BELLE ISLE  (REP),Irwin,Secretary Of State - REP,Absentee by Mail,4
DAVID BELLE ISLE  (REP),Jackson,Secretary Of State - REP,Absentee by Mail,49
DAVID BELLE ISLE  (REP),Jasper,Secretary Of State - REP,Absentee by Mail,7
DAVID BELLE ISLE  (REP),Jeff Davis,Secretary Of State - REP,Absentee by Mail,8
DAVID BELLE ISLE  (REP),Jefferson,Secretary Of State - REP,Absentee by Mail,20
DAVID BELLE ISLE  (REP),Jenkins,Secretary Of State - REP,Absentee by Mail,3
DAVID BELLE ISLE  (REP),Johnson,Secretary Of State - REP,Absentee by Mail,9
DAVID BELLE ISLE  (REP),Jones,Secretary Of State - REP,Absentee by Mail,87
DAVID BELLE ISLE  (REP),Lamar,Secretary Of State - REP,Absentee by Mail,15
DAVID BELLE ISLE  (REP),Lanier,Secretary Of State - REP,Absentee by Mail,19
DAVID BELLE ISLE  (REP),Laurens,Secretary Of State - REP,Absentee by Mail,93
DAVID BELLE ISLE  (REP),Lee,Secretary Of State - REP,Absentee by Mail,14
DAVID BELLE ISLE  (REP),Liberty,Secretary Of State - REP,Absentee by Mail,14
DAVID BELLE ISLE  (REP),Lincoln,Secretary Of State - REP,Absentee by Mail,17
DAVID BELLE ISLE  (REP),Long,Secretary Of State - REP,Absentee by Mail,2
DAVID BELLE ISLE  (REP),Lowndes,Secretary Of State - REP,Absentee by Mail,58
DAVID BELLE ISLE  (REP),Lumpkin,Secretary Of State - REP,Absentee by Mail,30
DAVID BELLE ISLE  (REP),Macon,Secretary Of State - REP,Absentee by Mail,2
DAVID BELLE ISLE  (REP),Madison,Secretary Of State - REP,Absentee by Mail,25
DAVID BELLE ISLE  (REP),Marion,Secretary Of State - REP,Absentee by Mail,3
DAVID BELLE ISLE  (REP),McDuffie,Secretary Of State - REP,Absentee by Mail,114
DAVID BELLE ISLE  (REP),McIntosh,Secretary Of State - REP,Absentee by Mail,18
DAVID BELLE ISLE  (REP),Meriwether,Secretary Of State - REP,Absentee by Mail,8
DAVID BELLE ISLE  (REP),Miller,Secretary Of State - REP,Absentee by Mail,8
DAVID BELLE ISLE  (REP),Mitchell,Secretary Of State - REP,Absentee by Mail,7
DAVID BELLE ISLE  (REP),Monroe,Secretary Of State - REP,Absentee by Mail,17
DAVID BELLE ISLE  (REP),Montgomery,Secretary Of State - REP,Absentee by Mail,17
DAVID BELLE ISLE  (REP),Morgan,Secretary Of State - REP,Absentee by Mail,9
DAVID BELLE ISLE  (REP),Murray,Secretary Of State - REP,Absentee by Mail,8
DAVID BELLE ISLE  (REP),Muscogee,Secretary Of State - REP,Absentee by Mail,176
DAVID BELLE ISLE  (REP),Newton,Secretary Of State - REP,Absentee by Mail,33
DAVID BELLE ISLE  (REP),Oconee,Secretary Of State - REP,Absentee by Mail,26
DAVID BELLE ISLE  (REP),Oglethorpe,Secretary Of State - REP,Absentee by Mail,54
DAVID BELLE ISLE  (REP),Paulding,Secretary Of State - REP,Absentee by Mail,158
DAVID BELLE ISLE  (REP),Peach,Secretary Of State - REP,Absentee by Mail,8
DAVID BELLE ISLE  (REP),Pickens,Secretary Of State - REP,Absentee by Mail,5
DAVID BELLE ISLE  (REP),Pierce,Secretary Of State - REP,Absentee by Mail,36
DAVID BELLE ISLE  (REP),Pike,Secretary Of State - REP,Absentee by Mail,21
DAVID BELLE ISLE  (REP),Polk,Secretary Of State - REP,Absentee by Mail,18
DAVID BELLE ISLE  (REP),Pulaski,Secretary Of State - REP,Absentee by Mail,4
DAVID BELLE ISLE  (REP),Putnam,Secretary Of State - REP,Absentee by Mail,9
DAVID BELLE ISLE  (REP),Quitman,Secretary Of State - REP,Absentee by Mail,0
DAVID BELLE ISLE  (REP),Rabun,Secretary Of State - REP,Absentee by Mail,117
DAVID BELLE ISLE  (REP),Randolph,Secretary Of State - REP,Absentee by Mail,8
DAVID BELLE ISLE  (REP),Richmond,Secretary Of State - REP,Absentee by Mail,121
DAVID BELLE ISLE  (REP),Rockdale,Secretary Of State - REP,Absentee by Mail,25
DAVID BELLE ISLE  (REP),Schley,Secretary Of State - REP,Absentee by Mail,4
DAVID BELLE ISLE  (REP),Screven,Secretary Of State - REP,Absentee by Mail,8
DAVID BELLE ISLE  (REP),Seminole,Secretary Of State - REP,Absentee by Mail,14
DAVID BELLE ISLE  (REP),Spalding,Secretary Of State - REP,Absentee by Mail,22
DAVID BELLE ISLE  (REP),Stephens,Secretary Of State - REP,Absentee by Mail,75
DAVID BELLE ISLE  (REP),Stewart,Secretary Of State - REP,Absentee by Mail,5
DAVID BELLE ISLE  (REP),Sumter,Secretary Of State - REP,Absentee by Mail,16
DAVID BELLE ISLE  (REP),Talbot,Secretary Of State - REP,Absentee by Mail,4
DAVID BELLE ISLE  (REP),Taliaferro,Secretary Of State - REP,Absentee by Mail,1
DAVID BELLE ISLE  (REP),Tattnall,Secretary Of State - REP,Absentee by Mail,17
DAVID BELLE ISLE  (REP),Taylor,Secretary Of State - REP,Absentee by Mail,8
DAVID BELLE ISLE  (REP),Telfair,Secretary Of State - REP,Absentee by Mail,8
